expected_salary,job_field,job_salary,job_location,job_title,match_score,description,requirements,company_id,company_name
29426,Engineering,19375,Pretoria,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
24489,IT,22881,Durban,System Administrator,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,2,BuildRight
14124,Retail,23875,Pretoria,Store Manager,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,3,EduPlus
16019,Education,19188,Pretoria,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,4,HealthFirst
15947,Education,18268,Cape Town,Principal,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,1,TechCorp
13027,Finance,21316,Port Elizabeth,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",5,FinanceHub
27072,Healthcare,17871,Cape Town,Medical Technician,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,5,FinanceHub
17895,IT,28941,Cape Town,Software Developer,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,5,FinanceHub
22426,Healthcare,21813,Port Elizabeth,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,1,TechCorp
27797,Education,10504,Johannesburg,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,5,FinanceHub
19993,Healthcare,27060,Pretoria,Nurse,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,5,FinanceHub
8620,Finance,16311,Cape Town,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",4,HealthFirst
17884,Engineering,14710,Durban,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,2,BuildRight
27831,Retail,25753,Port Elizabeth,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,5,FinanceHub
27524,IT,29662,Johannesburg,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,1,TechCorp
19364,Healthcare,13241,Port Elizabeth,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,3,EduPlus
20986,Retail,19214,Johannesburg,Cashier,0,Manages store operations and ensures excellent customer service.,Experience in retail or sales. Good communication and organizational skills.,1,TechCorp
12161,Education,15993,Durban,Principal,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,3,EduPlus
20215,IT,15081,Pretoria,Cybersecurity Specialist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,4,HealthFirst
15659,IT,26135,Durban,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,4,HealthFirst
17016,IT,27432,Durban,Software Developer,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,5,FinanceHub
28594,Engineering,9977,Johannesburg,Mechanical Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,1,TechCorp
8435,Education,24848,Port Elizabeth,Tutor,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,2,BuildRight
13976,Education,18315,Durban,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,1,TechCorp
28349,Engineering,18751,Port Elizabeth,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,5,FinanceHub
17167,IT,12208,Port Elizabeth,Data Scientist,0,"Develops, maintains, and supports IT systems and software applications.",Bachelor's degree in Computer Science or IT. Experience with programming and system administration.,2,BuildRight
12517,Engineering,25017,Pretoria,Software Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,2,BuildRight
15459,Finance,11982,Johannesburg,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
26630,Finance,15097,Johannesburg,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",4,HealthFirst
25381,Engineering,21102,Pretoria,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,4,HealthFirst
24638,Healthcare,22302,Durban,Pharmacist,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,1,TechCorp
18764,Finance,11611,Port Elizabeth,Financial Analyst,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",1,TechCorp
14969,Healthcare,9070,Port Elizabeth,Doctor,0,Provides medical or support services to patients in healthcare facilities.,Relevant healthcare qualification. Experience in patient care preferred.,1,TechCorp
26619,Engineering,8596,Cape Town,Civil Engineer,0,"Responsible for planning, designing, and overseeing engineering projects.",Bachelor's degree in Engineering. Relevant certifications and experience preferred.,3,EduPlus
20475,Finance,20416,Durban,Auditor,0,"Analyzes financial data, prepares reports, and provides recommendations.","Bachelor's degree in Finance, Accounting, or Economics. Analytical skills required.",2,BuildRight
18493,Education,20481,Cape Town,Teacher,0,Teaches students and prepares lessons according to curriculum standards.,Relevant teaching qualification and experience. Strong communication skills.,3,EduPlus
